2.509Am^-2 2GHz0.14099927041927263
2.51Am^-2 2GHz0.14136096271091012
2.5109999999999997Am^-2 2GHz0.1417136434548397
2.512Am^-2 2GHz0.14205704352100362
2.513Am^-2 2GHz0.14239085248627945
2.514Am^-2 2GHz0.14271472139949404
2.5149999999999997Am^-2 2GHz0.14302826676726413
2.516Am^-2 2GHz0.14333107621485136
2.517Am^-2 2GHz0.14362271517554134
2.518Am^-2 2GHz0.14390273542539142
2.5189999999999997Am^-2 2GHz0.1441706847383696
2.52Am^-2 2GHz0.14442611783572076
2.521Am^-2 2GHz0.1446686088256658
2.522Am^-2 2GHz0.14489776387856923
2.5229999999999997Am^-2 2GHz0.14511323536203727
2.524Am^-2 2GHz0.14531473550068638
2.525Am^-2 2GHz0.14550205042859127
2.526Am^-2 2GHz0.14567505385371957
2.5269999999999997Am^-2 2GHz0.14583371945140444
2.528Am^-2 2GHz0.14597813253744346
2.529Am^-2 2GHz0.1461084996816167
2.53Am^-2 2GHz0.14622515658203772
2.5309999999999997Am^-2 2GHz0.1463285735968724
2.532Am^-2 2GHz0.14641935864098085
2.533Am^-2 2GHz0.14649825748048914
2.534Am^-2 2GHz0.14656615101109435
2.5349999999999997Am^-2 2GHz0.14662404982018548
2.536Am^-2 2GHz0.14667308591255085
2.537Am^-2 2GHz0.14671450153011656
2.538Am^-2 2GHz0.14674963594871476
2.5389999999999997Am^-2 2GHz0.14677990996246568
2.54Am^-2 2GHz0.1468068079824548
2.541Am^-2 2GHz0.1468318600461163
2.542Am^-2 2GHz0.1468566213749086
2.5429999999999997Am^-2 2GHz0.14688265295082575
2.5439999999999996Am^-2 2GHz0.1469115006920234
2.545Am^-2 2GHz0.14694467640579936
2.546Am^-2 2GHz0.1469836386190272
2.5469999999999997Am^-2 2GHz0.14702977550461363
2.548Am^-2 2GHz0.1470843887756513
2.549Am^-2 2GHz0.14714868006188064
2.55Am^-2 2GHz0.14722373925168622
2.5509999999999997Am^-2 2GHz0.14731053484268755
2.5519999999999996Am^-2 2GHz0.14740990711668803
2.553Am^-2 2GHz0.14752256331966568
2.554Am^-2 2GHz0.14764907536428862
2.5549999999999997Am^-2 2GHz0.14778987930383733
2.556Am^-2 2GHz0.14794527745838904
2.557Am^-2 2GHz0.1481154417024577
2.558Am^-2 2GHz0.14830041853405704
2.5589999999999997Am^-2 2GHz0.1485001358092754
2.5599999999999996Am^-2 2GHz0.14871440964587426
2.561Am^-2 2GHz0.14894295302132182
2.562Am^-2 2GHz0.14918538430288195
2.5629999999999997Am^-2 2GHz0.14944123621981423
2.564Am^-2 2GHz0.14970996482967247
2.565Am^-2 2GHz0.1499909583243715
2.566Am^-2 2GHz0.15028354560637514
2.5669999999999997Am^-2 2GHz0.15058700421201102
2.5679999999999996Am^-2 2GHz0.1509005675232138
2.569Am^-2 2GHz0.15122343154580306
2.57Am^-2 2GHz0.15155476079217298
2.5709999999999997Am^-2 2GHz0.15189369324151872
2.572Am^-2 2GHz0.1522393445142335
2.573Am^-2 2GHz0.15259081131319144
2.574Am^-2 2GHz0.15294717422638637
2.5749999999999997Am^-2 2GHz0.1533074989802849
2.5759999999999996Am^-2 2GHz0.15367083839396783
2.577Am^-2 2GHz0.1540362325036663
2.578Am^-2 2GHz0.154402708945711
2.5789999999999997Am^-2 2GHz0.1547692828528807
2.58Am^-2 2GHz0.15513495650983009
2.581Am^-2 2GHz0.15549871876752225
2.582Am^-2 2GHz0.15585954518607453
2.5829999999999997Am^-2 2GHz0.15621639739975907
2.5839999999999996Am^-2 2GHz0.15656822402347978
2.585Am^-2 2GHz0.1569139611190202
2.586Am^-2 2GHz0.1572525339271462
2.5869999999999997Am^-2 2GHz0.1575828590532427
2.588Am^-2 2GHz0.15790384753200784
2.589Am^-2 2GHz0.15821440910577983
2.59Am^-2 2GHz0.15851345701262162
2.5909999999999997Am^-2 2GHz0.1587999139596068
2.5919999999999996Am^-2 2GHz0.1590727192326851
