2.7880000000000003Am^-2 2GHz0.01160790120437728
2.789Am^-2 2GHz0.010615703391239151
2.79Am^-2 2GHz0.009614612004019984
2.7910000000000004Am^-2 2GHz0.00860565058290893
2.7920000000000003Am^-2 2GHz0.00758988081760281
2.793Am^-2 2GHz0.006568400721697897
2.794Am^-2 2GHz0.0055423422255166995
2.795Am^-2 2GHz0.004512869045773239
2.7960000000000003Am^-2 2GHz0.0034811731031921035
2.797Am^-2 2GHz0.002448471673750177
2.798Am^-2 2GHz0.0014160034048031774
2.799Am^-2 2GHz0.000385025253558426
2.8000000000000003Am^-2 2GHz-0.0006431923534133193
2.801Am^-2 2GHz-0.0016673687600500065
2.802Am^-2 2GHz-0.0026862183970021553
2.803Am^-2 2GHz-0.0036984546959140286
2.8040000000000003Am^-2 2GHz-0.004702794096295971
2.805Am^-2 2GHz-0.005697961264566394
2.806Am^-2 2GHz-0.006682692347406845
2.807Am^-2 2GHz-0.007655740334274212
2.8080000000000003Am^-2 2GHz-0.008615877840158432
2.809Am^-2 2GHz-0.009561901623372721
2.81Am^-2 2GHz-0.010492635933437942
2.811Am^-2 2GHz-0.011406935489903888
2.8120000000000003Am^-2 2GHz-0.012303688392096
2.813Am^-2 2GHz-0.01318181883096049
2.814Am^-2 2GHz-0.014040289529232601
2.815Am^-2 2GHz-0.014878102977629462
2.8160000000000003Am^-2 2GHz-0.015694303534723397
2.817Am^-2 2GHz-0.01648797848852808
2.818Am^-2 2GHz-0.01725825902256687
2.819Am^-2 2GHz-0.018004320674627275
2.8200000000000003Am^-2 2GHz-0.01872538403691271
2.821Am^-2 2GHz-0.019420714810855888
2.822Am^-2 2GHz-0.020089623765621286
2.823Am^-2 2GHz-0.020731466815122824
2.8240000000000003Am^-2 2GHz-0.021345644479862598
2.825Am^-2 2GHz-0.02193160199925935
2.826Am^-2 2GHz-0.02248882870349683
2.827Am^-2 2GHz-0.02301685793021647
2.8280000000000003Am^-2 2GHz-0.023515266403735087
2.829Am^-2 2GHz-0.023983674503015747
2.83Am^-2 2GHz-0.02442174590710931
2.831Am^-2 2GHz-0.02482918724929117
2.8320000000000003Am^-2 2GHz-0.025205749001792725
2.833Am^-2 2GHz-0.025551224772826394
2.834Am^-2 2GHz-0.0258654524850494
2.835Am^-2 2GHz-0.026148314284938783
2.8360000000000003Am^-2 2GHz-0.026399737385210904
2.837Am^-2 2GHz-0.02661969467567686
2.838Am^-2 2GHz-0.026808205563857223
2.839Am^-2 2GHz-0.02696533672531859
2.8400000000000003Am^-2 2GHz-0.02709120300753428
2.841Am^-2 2GHz-0.027185968307507222
2.842Am^-2 2GHz-0.027249846310373853
2.843Am^-2 2GHz-0.027283101440981308
2.8440000000000003Am^-2 2GHz-0.027286049305144902
2.845Am^-2 2GHz-0.027259057349151117
2.846Am^-2 2GHz-0.027202545162300404
2.847Am^-2 2GHz-0.027116984521514814
2.8480000000000003Am^-2 2GHz-0.027002899395945905
2.849Am^-2 2GHz-0.026860865653708398
2.85Am^-2 2GHz-0.026691510157070157
2.851Am^-2 2GHz-0.026495509924229135
2.8520000000000003Am^-2 2GHz-0.02627359099217276
2.853Am^-2 2GHz-0.02602652644641978
2.854Am^-2 2GHz-0.025755135078805048
2.855Am^-2 2GHz-0.025460278861952002
2.8560000000000003Am^-2 2GHz-0.025142860453450724
2.857Am^-2 2GHz-0.024803820676679078
2.858Am^-2 2GHz-0.024444135800900626
2.859Am^-2 2GHz-0.02406481400790736
2.8600000000000003Am^-2 2GHz-0.023666892787551352
2.861Am^-2 2GHz-0.02325143510672894
2.862Am^-2 2GHz-0.022819526486442674
2.863Am^-2 2GHz-0.022372271631881026
2.8640000000000003Am^-2 2GHz-0.021910791091017488
2.865Am^-2 2GHz-0.021436218167217448
2.866Am^-2 2GHz-0.02094969536836858
2.867Am^-2 2GHz-0.020452372240742447
2.8680000000000003Am^-2 2GHz-0.019945401582003485
2.869Am^-2 2GHz-0.019429937345013415
2.87Am^-2 2GHz-0.01890713170672862
2.871Am^-2 2GHz-0.018378132633191623
2.8720000000000003Am^-2 2GHz-0.017844081522626183
2.873Am^-2 2GHz-0.017306110579656014
2.874Am^-2 2GHz-0.016765341003553456
2.875Am^-2 2GHz-0.016222880345725076
2.8760000000000003Am^-2 2GHz-0.015679820341097852
2.8770000000000002Am^-2 2GHz-0.015137234866824334
2.878Am^-2 2GHz-0.014596177005003355
2.879Am^-2 2GHz-0.014057677551618403
2.8800000000000003Am^-2 2GHz-0.013522741818496926
2.8810000000000002Am^-2 2GHz-0.012992347605920064
2.882Am^-2 2GHz-0.012467442372879226
2.883Am^-2 2GHz-0.01194894070374058
2.8840000000000003Am^-2 2GHz-0.01143772202857718
2.8850000000000002Am^-2 2GHz-0.010934627477709574
2.886Am^-2 2GHz-0.010440457832657395
2.887Am^-2 2GHz-0.0099559704871588
2.8880000000000003Am^-2 2GHz-0.009481877914072241
2.8890000000000002Am^-2 2GHz-0.0090188445842407
2.89Am^-2 2GHz-0.008567485682885867
2.891Am^-2 2GHz-0.008128364926374764
2.8920000000000003Am^-2 2GHz-0.007701993625835949
2.8930000000000002Am^-2 2GHz-0.00728882912249426
2.894Am^-2 2GHz-0.006889274098757279
2.895Am^-2 2GHz-0.006503676497827477
2.896Am^-2 2GHz-0.006132329206234347
2.8970000000000002Am^-2 2GHz-0.005775470390573842
2.898Am^-2 2GHz-0.005433284714185285
2.899Am^-2 2GHz-0.0051059039737171965
2.9000000000000004Am^-2 2GHz-0.004793408694198949
2.9010000000000002Am^-2 2GHz-0.004495830106120128
2.902Am^-2 2GHz-0.0042131522764595865
2.903Am^-2 2GHz-0.003945314082930022
2.904Am^-2 2GHz-0.003692212425399465
2.9050000000000002Am^-2 2GHz-0.0034537045939641076
2.906Am^-2 2GHz-0.003229611242407849
2.907Am^-2 2GHz-0.003019719648813269
2.9080000000000004Am^-2 2GHz-0.0028237865661861726
2.9090000000000003Am^-2 2GHz-0.0026415416788765165
2.91Am^-2 2GHz-0.0024726901942595026
2.911Am^-2 2GHz-0.0023169163885881634
2.912Am^-2 2GHz-0.00217388656402505
2.9130000000000003Am^-2 2GHz-0.002043251757451668
2.914Am^-2 2GHz-0.0019246508286259113
2.915Am^-2 2GHz-0.0018177128175571782
2.9160000000000004Am^-2 2GHz-0.0017220600678899346
2.9170000000000003Am^-2 2GHz-0.0016373100655051717
2.918Am^-2 2GHz-0.0015630780971484697
2.919Am^-2 2GHz-0.001498979573074346
2.92Am^-2 2GHz-0.001444631566108171
2.9210000000000003Am^-2 2GHz-0.0013996553188534184
2.922Am^-2 2GHz-0.0013636775628405346
2.923Am^-2 2GHz-0.0013363324757586993
2.9240000000000004Am^-2 2GHz-0.0013172631577857725
2.9250000000000003Am^-2 2GHz-0.001306122947128205
2.926Am^-2 2GHz-0.0013025768291794282
2.927Am^-2 2GHz-0.001306302901365926
2.928Am^-2 2GHz-0.0013169928055856703
2.9290000000000003Am^-2 2GHz-0.0013343533664366071
2.93Am^-2 2GHz-0.0013581071826953128
2.931Am^-2 2GHz-0.00138799316334012
2.9320000000000004Am^-2 2GHz-0.0014237673792317153
2.9330000000000003Am^-2 2GHz-0.0014652034040068538
2.934Am^-2 2GHz-0.0015120924269305296
2.935Am^-2 2GHz-0.0015642438883947424
2.936Am^-2 2GHz-0.0016214850299767212
2.9370000000000003Am^-2 2GHz-0.0016836609417059541
2.938Am^-2 2GHz-0.0017506341474850403
2.939Am^-2 2GHz-0.0018222843488326303
2.9400000000000004Am^-2 2GHz-0.0018985076717024031
2.9410000000000003Am^-2 2GHz-0.0019792159445461478
2.942Am^-2 2GHz-0.0020643359787830763
2.943Am^-2 2GHz-0.0021538081031187146
2.944Am^-2 2GHz-0.0022475857448256294
2.9450000000000003Am^-2 2GHz-0.002345633760392284
2.946Am^-2 2GHz-0.0024479269988767695
2.947Am^-2 2GHz-0.0025544495362835283
