6.348Am^-2 2GHz0.22062589770453983
6.349Am^-2 2GHz0.22063452525814833
6.35Am^-2 2GHz0.2206309383977067
6.351Am^-2 2GHz0.22061514158247758
6.352Am^-2 2GHz0.22058713777513234
6.353Am^-2 2GHz0.22054692856330482
6.354Am^-2 2GHz0.22049451417842378
6.3549999999999995Am^-2 2GHz0.22042989358850393
6.356Am^-2 2GHz0.22035306457489712
6.356999999999999Am^-2 2GHz0.2202640238221708
6.358Am^-2 2GHz0.22016276697569923
6.359Am^-2 2GHz0.22004928873788662
6.359999999999999Am^-2 2GHz0.2199235829848365
6.361Am^-2 2GHz0.21978564284066945
6.362Am^-2 2GHz0.2196354607611307
6.3629999999999995Am^-2 2GHz0.2194730286776222
6.364Am^-2 2GHz0.21929833805911403
6.365Am^-2 2GHz0.21911138006230604
6.366Am^-2 2GHz0.2189121455989999
6.367Am^-2 2GHz0.21870062552166053
6.368Am^-2 2GHz0.21847681065773122
6.369Am^-2 2GHz0.2182406920241389
6.37Am^-2 2GHz0.21799226090009627
6.3709999999999996Am^-2 2GHz0.2177315089591022
6.372Am^-2 2GHz0.21745842847033892
6.372999999999999Am^-2 2GHz0.21717301236219802
6.374Am^-2 2GHz0.21687525441063454
6.375Am^-2 2GHz0.21656514940367733
6.3759999999999994Am^-2 2GHz0.2162426932745595
6.377Am^-2 2GHz0.2159078832800138
6.378Am^-2 2GHz0.21556071814871686
6.379Am^-2 2GHz0.21520119829338166
6.38Am^-2 2GHz0.2148293259748854
6.381Am^-2 2GHz0.21444510549376744
6.382Am^-2 2GHz0.21404854338541418
6.383Am^-2 2GHz0.2136396486551144
6.384Am^-2 2GHz0.213218432962019
6.385Am^-2 2GHz0.21278491088866794
6.386Am^-2 2GHz0.2123391001824313
6.387Am^-2 2GHz0.2118810219965208
6.388Am^-2 2GHz0.21141070119059624
6.388999999999999Am^-2 2GHz0.2109281666614069
6.39Am^-2 2GHz0.21043345160636462
6.391Am^-2 2GHz0.2099265939402054
6.3919999999999995Am^-2 2GHz0.20940763664432513
6.393Am^-2 2GHz0.20887662820206537
6.394Am^-2 2GHz0.20833362304756628
6.395Am^-2 2GHz0.20777868207966277
6.396Am^-2 2GHz0.20721187324308127
6.397Am^-2 2GHz0.20663327209611598
